Country_name,alpha-3,Year,suicide_percentage,ISO 3166 Country Code,Latitude,Longitude
Canada,CAN,1990,2.15,CA,60,-95
Canada,CAN,1991,2.14,CA,60,-95
Canada,CAN,1992,2.16,CA,60,-95
Canada,CAN,1993,2.16,CA,60,-95
Canada,CAN,1994,2.14,CA,60,-95
Canada,CAN,1995,2.13,CA,60,-95
Canada,CAN,1996,2.12,CA,60,-95
Canada,CAN,1997,2.1,CA,60,-95
Canada,CAN,1998,2.08,CA,60,-95
Canada,CAN,1999,2.08,CA,60,-95
Canada,CAN,2000,2.03,CA,60,-95
Canada,CAN,2001,2.01,CA,60,-95
Canada,CAN,2002,1.98,CA,60,-95
Canada,CAN,2003,1.96,CA,60,-95
Canada,CAN,2004,1.93,CA,60,-95
Canada,CAN,2005,1.92,CA,60,-95
Canada,CAN,2006,1.9,CA,60,-95
Canada,CAN,2007,1.89,CA,60,-95
Canada,CAN,2008,1.89,CA,60,-95
Canada,CAN,2009,1.9,CA,60,-95
Canada,CAN,2010,1.9,CA,60,-95
Canada,CAN,2011,1.88,CA,60,-95
Canada,CAN,2012,1.89,CA,60,-95
Canada,CAN,2013,1.89,CA,60,-95
Canada,CAN,2014,1.9,CA,60,-95
Canada,CAN,2015,1.89,CA,60,-95
Canada,CAN,2016,1.87,CA,60,-95
Canada,CAN,2017,1.81,CA,60,-95
Canada,CAN,2018,1.7,CA,60,-95
Canada,CAN,2019,1.63,CA,60,-95
Italy,ITA,1990,0.97,IT,42.83,12.83
Italy,ITA,1991,0.96,IT,42.83,12.83
Italy,ITA,1992,0.96,IT,42.83,12.83
Italy,ITA,1993,0.94,IT,42.83,12.83
Italy,ITA,1994,0.93,IT,42.83,12.83
Italy,ITA,1995,0.93,IT,42.83,12.83
Italy,ITA,1996,0.93,IT,42.83,12.83
Italy,ITA,1997,0.94,IT,42.83,12.83
Italy,ITA,1998,0.93,IT,42.83,12.83
Italy,ITA,1999,0.92,IT,42.83,12.83
Italy,ITA,2000,0.9,IT,42.83,12.83
Italy,ITA,2001,0.88,IT,42.83,12.83
Italy,ITA,2002,0.86,IT,42.83,12.83
Italy,ITA,2003,0.82,IT,42.83,12.83
Italy,ITA,2004,0.82,IT,42.83,12.83
Italy,ITA,2005,0.8,IT,42.83,12.83
Italy,ITA,2006,0.79,IT,42.83,12.83
Italy,ITA,2007,0.78,IT,42.83,12.83
Italy,ITA,2008,0.78,IT,42.83,12.83
Italy,ITA,2009,0.78,IT,42.83,12.83
Italy,ITA,2010,0.78,IT,42.83,12.83
Italy,ITA,2011,0.77,IT,42.83,12.83
Italy,ITA,2012,0.76,IT,42.83,12.83
Italy,ITA,2013,0.76,IT,42.83,12.83
Italy,ITA,2014,0.74,IT,42.83,12.83
Italy,ITA,2015,0.72,IT,42.83,12.83
Italy,ITA,2016,0.7,IT,42.83,12.83
Italy,ITA,2017,0.69,IT,42.83,12.83
Italy,ITA,2018,0.68,IT,42.83,12.83
Italy,ITA,2019,0.67,IT,42.83,12.83
France,FRA,1990,2.94,FR,46,2
France,FRA,1991,2.91,FR,46,2
France,FRA,1992,2.89,FR,46,2
France,FRA,1993,2.88,FR,46,2
France,FRA,1994,2.86,FR,46,2
France,FRA,1995,2.8,FR,46,2
France,FRA,1996,2.74,FR,46,2
France,FRA,1997,2.71,FR,46,2
France,FRA,1998,2.66,FR,46,2
France,FRA,1999,2.6,FR,46,2
France,FRA,2000,2.55,FR,46,2
France,FRA,2001,2.53,FR,46,2
France,FRA,2002,2.5,FR,46,2
France,FRA,2003,2.46,FR,46,2
France,FRA,2004,2.45,FR,46,2
France,FRA,2005,2.43,FR,46,2
France,FRA,2006,2.42,FR,46,2
France,FRA,2007,2.41,FR,46,2
France,FRA,2008,2.41,FR,46,2
France,FRA,2009,2.42,FR,46,2
